title,image,description
Brevet des collèges : « Cette réforme crée des conditions de scolarisation plus accessibles aux élèves des classes favorisées »,https://img.lemde.fr/2020/05/07/2/0/6000/4000/110/73/60/0/21d910f_ylMDfZYM9uBYF83BVd3YqZhq.jpg,"Le nombre d’élèves recalés qui ne pourront pas accéder à une seconde générale, technologique ou professionnelle va augmenter, redoutent, dans une tribune au « Monde », les universitaires Valérie Capdevielle et Prisca Kergoat."
"« Après une enfance apocalyptique, la danse est devenue un exutoire »",https://img.lemde.fr/2022/06/03/0/0/3543/2362/110/73/60/0/fd6d539_1654262936192-le-monde-campus-v03.jpg,"« Premières fois » : récits de moments charnières autour du passage à l’âge adulte. Cette semaine, Giovanni Martinat, 34 ans, raconte comment la danse l’a extrait d’une trajectoire de délinquant."
"« Dans une France où l’ascenseur social est déjà bien grippé, l’autocensure aggrave la situation »",https://img.lemde.fr/2024/11/28/0/0/5760/3840/110/73/60/0/aa27ba1_1732798929091-pns-3922301.jpg,"Pour redonner confiance aux jeunes des quartiers populaires et des zones rurales, il faut entreprendre un vrai changement culturel, estime dans une tribune au « Monde », un collectif d’élus locaux et de citoyens emmené par Arnaud Platel, conseiller municipal de Plomelin (Finistère)."
"Comment les jeunes cadres parlent de politique au bureau : « Avec mes collègues, c’est très facile, mais on reste prudents avec notre hiérarchie »",https://img.lemde.fr/2024/11/22/0/0/2125/1417/110/73/60/0/da6786f_1732271862347-final-on-parle-politique-au-bureau.JPG,Les discussions politiques au travail peuvent parfois s’avérer houleuses et les jeunes salariés hésitent entre posture d’évitement et acte militant.
"Des fonctionnaires de police se mettent en scène sur TikTok et Instagram, non sans dérapages",https://img.lemde.fr/2024/12/02/320/0/1170/780/110/73/60/0/3c5bf56_1733128651683-img-3977.jpg,"A l’instar de Jérôme Foucaud, qui dirigeait jusqu’au 29 novembre la direction de l’ordre public et de la circulation (DOPC), qui coiffe notamment la BRAV-M, certains policiers font un usage extensif des réseaux sociaux."
"Pépite de l’IA de défense, Helsing s’ouvre le marché ukrainien",https://img.lemde.fr/2024/12/01/14/0/5043/3362/110/73/60/0/b6426a9_1733055578254-000-34qf633.jpg,"La société européenne, créée en 2021, fournira à Kiev 4 000 drones de frappe renforcés par l’intelligence artificielle."
Données de santé : une nouvelle application de Doctolib fait débat,https://img.lemde.fr/2024/11/29/0/0/5472/3648/110/73/60/0/9bac950_1732895281444-000-32ay68q.jpg,"Le leader de la prise de rendez-vous médical propose un espace permettant de réunir les données de santé d’un patient. Une offre vue par certains acteurs du secteur comme concurrente de « Mon espace santé », de l’Assurance-maladie."
Paris se rêve en capitale d’une IA positive avec l’organisation d’un sommet international en février 2025,https://img.lemde.fr/2023/11/03/0/784/5550/3700/110/73/60/0/975eb2b_1699006526955-pns-6622000.jpg,"Après le Royaume-Uni, fin 2023, la France va accueillir 100 chefs d’Etat et quelque 600 dirigeants d’entreprise et d’ONG, américains et européens mais aussi chinois ou africains."
"En Espagne, la ferveur pour les data centers provoque des tensions autour de l’accès au réseau électrique",https://img.lemde.fr/2024/11/28/333/0/8000/5333/110/73/60/0/4590544_1732807600613-000-363x9pg.jpg,"Le royaume cherche à se doter des plus grandes usines de données d’Europe, en proposant des tarifs d’électricité attractifs liés à l’important développement des énergies renouvelables."
"Comparatif : parmi les téléphones d’occasion, quelle marque décote le plus vite ?",https://img.lemde.fr/2018/05/18/0/0/3000/2000/110/73/60/0/22ce5d0_6441-17eaemr.00hd.jpg,"Au fil des années, les mobiles Samsung haut de gamme perdent leur valeur beaucoup plus vite que les iPhone. Mais la balance s’inverse pour les smartphones de milieu de gamme."
"En Roumanie, derrière le succès politique de Calin Georgescu, l’ombre d’un mystérieux influenceur",https://img.lemde.fr/2024/11/27/0/0/7000/4666/110/73/60/0/180eed6_505b68f19c8647fc9c5b624ebd90b12e-0-0f487e782fd84c1e964bf8edac6d84df.jpg,"Surnommée le « Elon Musk roumain », cette personnalité anonyme liée au secteur des cryptoactifs s’était fait connaître en effectuant des dons très importants à des tiktokeurs lors de vidéos en direct."
